Time (s), Altitude (m), Velocity (m/s), Acceleration (m/s^2), Air temperature (°C), Air pressure (mbar)
26.66,487.00,26.35,487.00,22.00,26.35
26.79,412.00,26.47,412.00,16.00,26.47
26.90,284.00,26.58,284.00,21.00,26.58
27.04,19.00,26.71,19.00,24.00,26.71
27.16,476.00,26.83,476.00,17.00,26.83
27.31,319.00,26.97,319.00,22.00,26.97
27.46,198.00,27.11,198.00,16.00,27.11
27.58,4.00,27.23,4.00,21.00,27.23
27.70,265.00,27.34,265.00,23.00,27.34
27.82,424.00,27.47,424.00,20.00,27.47
27.96,454.00,27.60,454.00,21.00,27.60
28.08,203.00,27.72,203.00,16.00,27.72
28.19,141.00,27.82,141.00,20.00,27.82
28.34,217.00,27.96,217.00,24.00,27.96
28.48,465.00,28.10,465.00,16.00,28.10
28.62,379.00,28.23,379.00,20.00,28.23
28.72,48.00,28.33,48.00,22.00,28.33
28.84,39.00,28.44,39.00,23.00,28.44
28.94,157.00,28.54,157.00,18.00,28.54
29.06,466.00,28.65,466.00,25.00,28.65
29.19,496.00,28.78,496.00,19.00,28.78
29.33,494.00,28.91,494.00,18.00,28.91
29.44,312.00,29.01,312.00,15.00,29.01
29.55,232.00,29.13,232.00,17.00,29.13
29.70,198.00,29.26,198.00,16.00,29.26
29.84,70.00,29.40,70.00,25.00,29.40
29.96,414.00,29.51,414.00,18.00,29.51
30.07,335.00,29.62,335.00,22.00,29.62
30.18,252.00,29.72,252.00,17.00,29.72
30.32,150.00,29.86,150.00,25.00,29.86
30.45,169.00,29.99,169.00,19.00,29.99
30.60,311.00,30.13,311.00,15.00,30.13
30.75,316.00,30.26,316.00,25.00,30.26
30.89,139.00,30.40,139.00,16.00,30.40
31.04,391.00,30.54,391.00,22.00,30.54
31.16,328.00,30.66,328.00,22.00,30.66
31.28,183.00,30.78,183.00,22.00,30.78
31.43,91.00,30.92,91.00,23.00,30.92
31.56,404.00,31.04,404.00,23.00,31.04
31.68,290.00,31.16,290.00,25.00,31.16
31.83,390.00,31.30,390.00,19.00,31.30
31.95,441.00,31.41,441.00,23.00,31.41
32.06,284.00,31.52,284.00,24.00,31.52
32.21,61.00,31.66,61.00,25.00,31.66
32.36,302.00,31.80,302.00,18.00,31.80
32.48,354.00,31.91,354.00,23.00,31.91
32.61,377.00,32.03,377.00,20.00,32.03
32.73,319.00,32.14,319.00,16.00,32.14
32.86,441.00,32.28,441.00,23.00,32.28
33.00,299.00,32.41,299.00,19.00,32.41
33.11,456.00,32.51,456.00,21.00,32.51
33.22,48.00,32.61,48.00,17.00,32.61
33.34,418.00,32.72,418.00,17.00,32.72
33.46,295.00,32.84,295.00,25.00,32.84
33.60,1.00,32.97,1.00,24.00,32.97
33.73,57.00,33.10,57.00,22.00,33.10
33.85,305.00,33.21,305.00,24.00,33.21
33.99,169.00,33.34,169.00,25.00,33.34
34.12,421.00,33.46,421.00,22.00,33.46
34.23,300.00,33.57,300.00,25.00,33.57
34.37,54.00,33.70,54.00,21.00,33.70
34.51,389.00,33.83,389.00,22.00,33.83
34.63,415.00,33.94,415.00,18.00,33.94
34.77,463.00,34.07,463.00,19.00,34.07
34.89,92.00,34.19,92.00,18.00,34.19
35.01,420.00,34.30,420.00,24.00,34.30
35.16,368.00,34.44,368.00,16.00,34.44
35.28,196.00,34.55,196.00,25.00,34.55
35.39,234.00,34.66,234.00,17.00,34.66
35.51,448.00,34.76,448.00,15.00,34.76
35.62,371.00,34.87,371.00,23.00,34.87
35.74,219.00,34.98,219.00,18.00,34.98
35.85,264.00,35.08,264.00,21.00,35.08
35.96,410.00,35.19,410.00,17.00,35.19
36.08,342.00,35.30,342.00,23.00,35.30
36.19,44.00,35.40,44.00,24.00,35.40
36.32,75.00,35.52,75.00,22.00,35.52
36.43,96.00,35.63,96.00,17.00,35.63
36.54,87.00,35.73,87.00,25.00,35.73
36.68,352.00,35.86,352.00,24.00,35.86
36.79,400.00,35.96,400.00,23.00,35.96
36.92,357.00,36.09,357.00,17.00,36.09
37.05,14.00,36.21,14.00,16.00,36.21
37.20,9.00,36.35,9.00,23.00,36.35
37.32,218.00,36.46,218.00,18.00,36.46
37.46,243.00,36.59,243.00,19.00,36.59
37.57,34.00,36.69,34.00,20.00,36.69
37.70,151.00,36.81,151.00,23.00,36.81
37.83,459.00,36.93,459.00,21.00,36.93
37.97,437.00,37.06,437.00,20.00,37.06
38.09,100.00,37.17,100.00,18.00,37.17
38.22,378.00,37.30,378.00,21.00,37.30
38.37,415.00,37.44,415.00,16.00,37.44
38.52,140.00,37.57,140.00,15.00,37.57
38.65,228.00,37.70,228.00,17.00,37.70
38.78,469.00,37.81,469.00,23.00,37.81
38.93,278.00,37.95,278.00,24.00,37.95
39.07,10.00,38.08,10.00,19.00,38.08
39.18,0.00,38.18,0.00,21.00,38.18
39.30,156.00,38.30,156.00,15.00,38.30
39.44,431.00,38.42,431.00,21.00,38.42
39.56,276.00,38.53,276.00,21.00,38.53
39.70,108.00,38.66,108.00,16.00,38.66
39.84,19.00,38.80,19.00,17.00,38.80
39.97,370.00,38.91,370.00,15.00,38.91
40.10,24.00,39.03,24.00,18.00,39.03
40.23,8.00,39.15,8.00,17.00,39.15
40.37,288.00,39.29,288.00,15.00,39.29
40.53,19.00,39.42,19.00,24.00,39.42
40.68,461.00,39.56,461.00,15.00,39.56
40.82,399.00,39.70,399.00,16.00,39.70
40.97,380.00,39.83,380.00,24.00,39.83
41.08,274.00,39.94,274.00,22.00,39.94
41.20,67.00,40.04,67.00,15.00,40.04
41.34,184.00,40.17,184.00,23.00,40.17
41.47,266.00,40.29,266.00,15.00,40.29
41.59,89.00,40.40,89.00,20.00,40.40
41.72,81.00,40.52,81.00,20.00,40.52
41.84,374.00,40.63,374.00,25.00,40.63
41.99,472.00,40.76,472.00,20.00,40.76
42.10,70.00,40.87,70.00,22.00,40.87
42.24,89.00,41.00,89.00,23.00,41.00
42.35,111.00,41.10,111.00,20.00,41.10
42.50,112.00,41.23,112.00,21.00,41.23
42.63,230.00,41.35,230.00,15.00,41.35
42.76,128.00,41.46,128.00,24.00,41.46
42.87,459.00,41.57,459.00,15.00,41.57
42.98,194.00,41.67,194.00,15.00,41.67
43.11,59.00,41.79,59.00,15.00,41.79
43.25,132.00,41.92,132.00,19.00,41.92
43.40,81.00,42.05,81.00,16.00,42.05
43.55,21.00,42.19,21.00,17.00,42.19
43.67,91.00,42.30,91.00,25.00,42.30
43.78,120.00,42.40,120.00,19.00,42.40
43.90,129.00,42.50,129.00,21.00,42.50
44.05,370.00,42.64,370.00,21.00,42.64
44.17,80.00,42.75,80.00,16.00,42.75
44.32,452.00,42.88,452.00,24.00,42.88
44.45,162.00,43.00,162.00,16.00,43.00
44.56,385.00,43.10,385.00,17.00,43.10
44.69,159.00,43.22,159.00,21.00,43.22
44.83,61.00,43.35,61.00,22.00,43.35
44.96,54.00,43.46,54.00,25.00,43.46
45.08,270.00,43.57,270.00,16.00,43.57
45.22,44.00,43.70,44.00,25.00,43.70
45.33,469.00,43.80,469.00,24.00,43.80
45.47,423.00,43.92,423.00,25.00,43.92
45.60,350.00,44.03,350.00,24.00,44.03
45.73,346.00,44.15,346.00,20.00,44.15
45.86,394.00,44.27,394.00,15.00,44.27
46.01,64.00,44.41,64.00,15.00,44.41
46.12,19.00,44.50,19.00,25.00,44.50
46.23,161.00,44.60,161.00,21.00,44.60
46.36,449.00,44.72,449.00,15.00,44.72
46.49,260.00,44.83,260.00,24.00,44.83
46.60,122.00,44.93,122.00,21.00,44.93
46.73,468.00,45.05,468.00,22.00,45.05
46.85,139.00,45.16,139.00,20.00,45.16
46.99,364.00,45.28,364.00,18.00,45.28
47.11,271.00,45.39,271.00,18.00,45.39
47.25,336.00,45.51,336.00,21.00,45.51
47.37,120.00,45.62,120.00,15.00,45.62
47.51,116.00,45.74,116.00,22.00,45.74
47.64,351.00,45.86,351.00,22.00,45.86
47.77,23.00,45.97,23.00,22.00,45.97
47.92,107.00,46.11,107.00,23.00,46.11
48.03,53.00,46.21,53.00,20.00,46.21
48.15,40.00,46.31,40.00,25.00,46.31
48.29,233.00,46.43,233.00,21.00,46.43
48.41,251.00,46.54,251.00,20.00,46.54
48.52,160.00,46.64,160.00,23.00,46.64
48.64,375.00,46.74,375.00,15.00,46.74
48.75,133.00,46.84,133.00,15.00,46.84
48.88,236.00,46.96,236.00,21.00,46.96
49.02,464.00,47.08,464.00,20.00,47.08
49.13,119.00,47.18,119.00,21.00,47.18
49.27,359.00,47.30,359.00,23.00,47.30
49.39,216.00,47.41,216.00,22.00,47.41
49.54,248.00,47.54,248.00,15.00,47.54
49.65,398.00,47.63,398.00,16.00,47.63
49.80,428.00,47.76,428.00,21.00,47.76
49.92,192.00,47.87,192.00,15.00,47.87
50.04,272.00,47.97,272.00,23.00,47.97
50.16,221.00,48.08,221.00,23.00,48.08
50.29,269.00,48.19,269.00,25.00,48.19
50.44,319.00,48.33,319.00,23.00,48.33
50.56,316.00,48.43,316.00,24.00,48.43
50.71,314.00,48.56,314.00,17.00,48.56
50.86,466.00,48.70,466.00,15.00,48.70
50.98,260.00,48.80,260.00,25.00,48.80
51.09,231.00,48.90,231.00,16.00,48.90
51.23,377.00,49.02,377.00,22.00,49.02
51.36,333.00,49.13,333.00,18.00,49.13
51.48,499.00,49.24,499.00,17.00,49.24
51.61,144.00,49.35,144.00,23.00,49.35
51.72,312.00,49.45,312.00,15.00,49.45
51.84,407.00,49.55,407.00,23.00,49.55
51.95,259.00,49.65,259.00,15.00,49.65
52.08,391.00,49.76,391.00,15.00,49.76
52.20,253.00,49.86,253.00,24.00,49.86
52.31,53.00,49.95,53.00,19.00,49.95
52.45,491.00,50.08,491.00,23.00,50.08
52.56,268.00,50.18,268.00,22.00,50.18
52.70,472.00,50.29,472.00,15.00,50.29
52.82,204.00,50.40,204.00,16.00,50.40
52.97,445.00,50.52,445.00,23.00,50.52
53.09,462.00,50.63,462.00,23.00,50.63
53.21,326.00,50.74,326.00,20.00,50.74
53.35,71.00,50.85,71.00,21.00,50.85
53.47,129.00,50.96,129.00,22.00,50.96
53.62,478.00,51.09,478.00,25.00,51.09
53.75,338.00,51.20,338.00,20.00,51.20
53.88,426.00,51.31,426.00,24.00,51.31
54.02,199.00,51.43,199.00,19.00,51.43
54.14,276.00,51.53,276.00,18.00,51.53
54.28,319.00,51.65,319.00,20.00,51.65
54.41,416.00,51.77,416.00,22.00,51.77
54.54,183.00,51.88,183.00,21.00,51.88
54.65,248.00,51.97,248.00,15.00,51.97
54.78,18.00,52.08,18.00,20.00,52.08
54.91,161.00,52.19,161.00,15.00,52.19
55.05,63.00,52.31,63.00,20.00,52.31
55.17,308.00,52.42,308.00,19.00,52.42
55.33,119.00,52.55,119.00,24.00,52.55
55.47,392.00,52.67,392.00,23.00,52.67
55.61,353.00,52.78,353.00,20.00,52.78
55.72,475.00,52.88,475.00,15.00,52.88
55.83,32.00,52.97,32.00,24.00,52.97
55.96,35.00,53.08,35.00,25.00,53.08
56.07,110.00,53.18,110.00,18.00,53.18
56.20,278.00,53.29,278.00,17.00,53.29
56.35,279.00,53.42,279.00,24.00,53.42
56.47,187.00,53.51,187.00,23.00,53.51
56.60,266.00,53.62,266.00,21.00,53.62
56.74,175.00,53.75,175.00,21.00,53.75
56.89,156.00,53.87,156.00,23.00,53.87
57.03,93.00,53.99,93.00,23.00,53.99
57.15,424.00,54.09,424.00,23.00,54.09
57.26,330.00,54.19,330.00,19.00,54.19
57.41,410.00,54.31,410.00,21.00,54.31
57.54,314.00,54.42,314.00,22.00,54.42
57.68,85.00,54.53,85.00,24.00,54.53
57.83,260.00,54.66,260.00,20.00,54.66
57.97,403.00,54.78,403.00,21.00,54.78
58.08,200.00,54.87,200.00,18.00,54.87
58.20,484.00,54.97,484.00,17.00,54.97
58.33,186.00,55.08,186.00,18.00,55.08
58.44,199.00,55.17,199.00,20.00,55.17
58.56,183.00,55.27,183.00,15.00,55.27
58.68,302.00,55.37,302.00,15.00,55.37
58.82,225.00,55.49,225.00,22.00,55.49
58.95,95.00,55.59,95.00,18.00,55.59
59.06,191.00,55.69,191.00,15.00,55.69
59.17,14.00,55.78,14.00,25.00,55.78
59.31,283.00,55.89,283.00,22.00,55.89
59.44,301.00,56.00,301.00,20.00,56.00
59.59,375.00,56.12,375.00,25.00,56.12
59.71,131.00,56.22,131.00,15.00,56.22
59.83,308.00,56.32,308.00,22.00,56.32
59.95,8.00,56.42,8.00,19.00,56.42
60.08,0.00,56.53,0.00,19.00,56.53
60.22,499.00,56.64,499.00,23.00,56.64
60.34,462.00,56.75,462.00,24.00,56.75
60.45,321.00,56.84,321.00,22.00,56.84
60.57,10.00,56.93,10.00,23.00,56.93
60.72,493.00,57.05,493.00,21.00,57.05
60.83,71.00,57.15,71.00,18.00,57.15
60.96,391.00,57.25,391.00,25.00,57.25
61.09,457.00,57.36,457.00,25.00,57.36
61.20,275.00,57.45,275.00,19.00,57.45
61.34,415.00,57.57,415.00,24.00,57.57
61.47,347.00,57.67,347.00,23.00,57.67
61.60,134.00,57.78,134.00,17.00,57.78
61.73,379.00,57.88,379.00,24.00,57.88
61.87,307.00,58.00,307.00,16.00,58.00
61.99,421.00,58.10,421.00,19.00,58.10
62.11,449.00,58.19,449.00,24.00,58.19
62.26,438.00,58.31,438.00,18.00,58.31
62.37,186.00,58.41,186.00,15.00,58.41
62.51,24.00,58.52,24.00,17.00,58.52
62.62,181.00,58.61,181.00,16.00,58.61
62.75,202.00,58.71,202.00,16.00,58.71
62.86,454.00,58.80,454.00,15.00,58.80
62.98,31.00,58.90,31.00,17.00,58.90
